Class,Skewness,Curtosis,Entropy,Variance
0,8.6661,-2.8073,-0.44699,3.6216
0,8.1674,-2.4586,-1.4621,4.5459
0,-2.6383,1.9242,0.10645,3.866
0,9.5228,-4.0112,-3.5944,3.4566
0,-4.4552,4.5718,-0.9888,0.32924
0,9.6718,-3.9606,-3.1625,4.3684
0,3.0129,0.72888,0.56421,3.5912
0,-6.81,8.4636,-0.60216,2.0922
0,5.7588,-0.75345,-0.61251,3.2032
0,9.1772,-2.2718,-0.73535,1.5356
0,8.7779,-2.2135,-0.80647,1.2247
0,-2.7066,2.3946,0.86291,3.9899
0,7.6625,0.15394,-3.1108,1.8993
0,10.843,2.5462,-2.9362,-1.5768
0,8.7261,-2.9915,-0.57242,3.404
0,-3.3895,3.4896,1.4771,4.6765
0,3.0646,0.37158,0.58619,2.6719
0,2.8473,4.3439,0.6017,0.80355
0,-4.8794,8.3428,-2.1086,1.4479
0,11.0272,-4.353,-4.1013,5.2423
0,7.8902,-2.6196,-0.48708,5.7867
0,-4.4552,4.5718,-0.9888,0.3292
0,10.1622,-3.8235,-4.0172,3.9362
0,8.8855,-1.6831,-1.6599,0.93584
0,9.887,-4.6795,-3.7483,4.4338
0,-5.4981,8.3368,-2.8715,0.7057
0,-3.7413,5.5777,-0.63578,1.1432
0,8.3909,2.1624,-3.7405,-0.38214
0,9.8187,-4.4113,-3.2258,6.5633
0,-3.3584,3.4202,1.0905,4.8906
0,-0.17797,4.9068,0.15429,-0.24811
0,3.6274,3.308,0.48921,1.4884
0,7.617,-2.3874,-0.96164,4.2969
0,9.4111,1.7305,-4.8629,-0.96511
0,0.80908,8.1628,0.60817,-1.6162
0,6.4417,-0.80743,-0.69139,2.4391
0,6.0195,-0.46641,-0.69268,2.6881
0,0.81322,1.6277,0.77627,3.6289
0,3.1929,-2.1055,0.29653,4.5679
0,9.7008,-3.7541,-3.4379,3.4805
0,8.722,-3.0224,-0.59699,4.1711
0,9.2207,-3.7044,-6.8103,-0.2062
0,9.2931,-0.41243,-1.9638,-0.0068919
0,5.8395,2.3235,0.066365,0.96441
0,6.9176,-0.79372,0.48403,2.8561
0,9.5663,-3.7867,-7.5034,-0.7869
0,6.6258,0.48382,-2.2134,2.0843
0,9.5663,-3.7867,-7.5034,-0.7869
0,6.065,-2.4534,-0.68234,3.9102
0,3.286,2.8753,0.087054,1.6349
0,-4.8835,3.4356,-0.5776,4.3239
0,3.9834,-1.5572,1.0103,5.262
0,5.825,-0.51439,-1.4944,3.1452
0,6.1499,-1.1605,-1.2371,2.549
0,5.496,-2.4774,-0.50648,4.9264
0,0.80287,1.6371,1.1875,4.8265
0,6.7769,-0.61979,0.38576,2.5635
0,5.0097,-2.2384,0.43878,5.807
0,-4.1096,4.5701,0.98963,3.1377
0,11.3603,-0.37644,-7.0495,-0.78289
0,0.44696,4.5907,-0.24398,2.888
0,5.527,1.7785,-0.47156,0.49665
0,11.2962,-4.0943,-4.3457,4.2586
0,-1.1174,1.5454,-0.26079,1.7939
0,3.1039,-1.1536,1.5651,5.4021
0,2.599,2.0938,0.20085,2.5367
0,-4.0765,2.7587,0.31981,4.6054
0,9.5332,-3.0789,-2.7746,2.4235
0,7.7846,-0.28219,-2.6608,1.0009
0,8.9848,-0.9351,-2.4332,0.12326
0,-2.3548,2.3792,0.48274,3.9529
0,0.49248,1.093,1.8276,4.1373
0,10.0153,-3.9486,-3.8582,4.7181
0,-3.4495,3.643,1.0879,4.1654
0,10.9072,-4.5775,-4.4271,4.4069
0,3.5364,0.57551,0.41938,2.3066
0,7.9853,-2.5477,-1.872,3.7935
0,6.1437,1.7828,-0.72113,0.049175
0,7.6439,0.9885,-0.87371,0.24835
0,3.9647,3.3979,0.84351,1.1317
0,9.0862,-3.3668,-1.0224,2.8033
0,2.2907,0.95766,0.83058,4.4682
0,8.5978,-2.9375,-1.281,5.0185
0,7.7763,-0.23849,-2.9634,1.8664
0,6.63,-0.63435,0.86937,3.245
0,2.6756,0.80685,0.71679,4.0296
0,1.9037,7.5339,1.022,-1.1313
0,6.8141,0.84198,-0.17156,0.87603
0,-2.7956,2.0707,0.67412,4.1197
0,0.81529,2.1041,1.0245,3.8027
0,7.6377,-2.7876,-1.0341,1.4806
0,3.584,0.72545,0.39481,4.0632
0,8.2068,-2.7824,-1.4336,4.3064
0,-6.3175,7.9632,0.20602,2.4486
0,1.7837,2.1161,0.61334,3.2718
0,-4.6062,8.347,-2.7099,-0.64472
0,1.076,0.64577,0.89394,2.9543
0,-6.8804,8.1517,-0.081048,2.1616
0,10.9279,-4.0112,-5.0284,3.82
0,11.4038,2.5394,-5.5793,-2.7419
0,-5.1856,3.6935,-1.1427,3.3669
0,-2.4211,2.6413,1.6168,4.5597
0,-0.49871,0.62863,1.1189,5.1129
0,-4.6145,3.9823,-0.23751,3.3397
0,0.22761,0.96108,0.97282,4.2027
0,1.2395,1.997,2.1547,3.5438
0,10.6651,-3.5288,-4.7672,2.3136
0,7.886,-1.6643,-1.8384,-1.8584
0,9.5414,-4.2536,-4.003,3.106
0,10.8306,-3.3437,-4.122,2.9163
0,-4.4676,3.7304,-0.1095,3.9922
0,5.6946,0.094818,-0.026738,1.518
0,9.647,-3.2074,-2.5948,3.2351
0,6.8162,-1.2804,0.76076,4.2188
0,6.9176,-1.2744,-1.5759,1.7819
0,2.9135,-0.822,-0.12243,2.5331
0,7.4163,-1.8245,0.14007,3.8969
0,6.7955,-0.1708,0.4905,2.108
0,0.70768,2.29,1.8663,2.8969
0,-3.7971,4.6429,-0.2957,0.9297
0,10.6878,-3.4071,-4.109,3.4642
0,10.4023,-4.1722,-4.7582,4.0713
0,9.1214,1.7425,-5.1241,-1.4572
0,1.9224,7.1466,0.89136,-1.5075
0,9.9884,1.1804,-5.2263,-0.91718
0,7.2011,-1.2153,0.3211,2.994
0,12.9516,3.3285,-5.9426,-2.343
0,-2.8846,2.2558,-0.15734,3.7818
0,1.3098,0.055404,1.909,4.6689
0,1.1112,1.7425,1.3388,3.4663
0,-4.3414,3.6884,-0.29829,3.2697
0,8.6703,-2.8913,-1.5086,5.1302
0,6.1416,0.37929,0.56938,2.0139
0,5.5395,2.033,-0.40432,0.4339
0,9.3987,0.85998,-5.3336,-1.0401
0,11.2196,-3.6136,-4.0819,4.1605
0,9.4669,-4.9417,-3.9202,5.438
0,8.2026,-2.6256,-1.0341,5.032
0,10.5388,-4.1174,-4.2797,5.2418
0,9.2207,-3.7044,-6.8103,-0.2062
0,0.94358,4.5512,1.234,2.0911
0,-0.34765,4.1905,-0.99138,1.7317
0,3.3336,-1.4244,0.60429,4.1736
0,-3.2467,3.4579,0.83705,3.9232
0,10.1539,-3.8561,-4.2228,3.8481
0,-3.2633,3.0895,-0.9849,0.5195
0,0.78425,1.1033,1.7008,3.8584
0,-0.1759,5.1827,1.2922,1.7496
0,0.9829,0.68861,0.63403,3.6277
0,7.4018,0.071684,-2.5302,2.7391
0,8.2274,-2.4166,-1.5875,4.5447
0,11.9211,2.6756,-3.3241,-1.7599
0,0.21313,0.20278,1.2095,5.0691
0,11.112,-4.2039,-5.0931,3.4591
0,8.1654,-0.023425,-2.2586,1.9358
0,-0.99533,5.3404,-0.15475,2.486
0,-4.5752,5.947,0.21507,2.4226
0,-3.7723,2.883,0.019813,3.9479
0,-4.4862,3.6558,-0.61251,2.2634
0,4.2358,2.1341,0.3211,1.3566
0,3.8964,-1.4304,0.86291,5.0452
0,8.6165,-3.2794,-1.2009,3.5499
0,7.8695,0.26876,-3.7883,0.17346
0,9.3593,-3.3565,-3.3526,2.4008
0,1.5995,-0.00029081,1.6401,4.8851
0,-3.2674,2.5839,0.21766,4.1927
0,8.6496,-0.96252,-1.8112,1.1166
0,6.901,-2.0062,-2.7125,1.0235
0,11.8818,2.0458,-5.2728,-1.803
0,6.2761,-1.5495,-2.4746,0.11739
0,-0.0248,1.2421,-0.5621,0.5706
0,-2.4583,2.2806,1.0323,4.0552
0,1.0657,8.8294,0.94955,-1.6952
0,10.7271,2.0938,-5.6504,-1.1193
0,2.4707,2.4931,0.37671,1.8799
0,-3.7971,3.4391,-0.12501,3.583
0,9.1297,-3.725,-5.8224,0.19081
0,5.6864,-1.7157,-0.23751,3.6582
0,-1.7775,8.3316,0.35214,-0.13144
0,9.798,-3.0361,-2.8224,2.3925
0,3.0149,0.22849,-0.147,1.6426
0,-1.5789,8.03,-0.028031,-0.11783
0,8.6165,1.8419,-4.3289,-0.69572
0,7.4101,-0.97709,-0.88406,2.9421
0,11.9459,3.0946,-4.8978,-1.7559
0,10.8803,1.931,-4.3237,-1.2537
0,-4.4614,3.8024,-0.15087,3.2585
0,6.3672,-0.036278,0.049554,1.8314
0,-3.6275,2.8684,0.27714,4.5645
0,-5.0325,6.6608,-0.57889,2.7365
0,-3.7971,4.6429,-0.2957,0.9297
0,10.1684,-4.1131,-4.6056,3.9663
0,-0.08485,4.1785,0.59136,1.4578
0,3.0687,0.68604,0.80731,4.8272
0,12.3784,0.70403,-7.5836,-2.341
0,7.886,-1.6643,-1.8384,-1.8584
0,7.257,-1.9153,-0.86078,4.1454
0,6.0816,0.23705,-2.0116,1.9157
0,-2.1914,2.4648,1.1409,4.0215
0,5.8747,-2.8167,-0.30087,5.8862
0,10.8265,2.3603,-3.4198,-2.0897
0,-3.5943,3.5573,0.26809,4.0026
0,9.5663,-3.7867,-7.5034,-0.78689
0,10.2615,-3.8552,-4.3056,4.1757
0,7.5404,0.65005,-0.92544,0.83292
0,2.2327,-0.26334,1.5534,4.8077
0,5.2684,-2.8904,-0.52716,5.3063
0,9.2683,-3.5913,-1.356,2.5605
0,7.6046,-0.47755,-1.8461,2.1059
0,-0.73874,5.4672,-0.72371,2.1721
0,9.1814,-4.6067,-4.3263,4.2899
0,10.1891,-4.2759,-4.978,3.5156
0,8.0081,-3.7258,-1.3069,2.614
0,2.3259,4.9085,0.54998,0.68087
0,0.74493,0.83256,0.753,4.1962
0,2.9673,-1.3267,1.4551,6.0919
0,3.2964,0.2362,-0.11984,1.3234
0,1.0326,5.6566,-0.41337,1.3264
0,7.6274,1.2061,-3.6241,-0.16735
0,10.2678,-2.953,-5.8638,-1.3
0,12.5398,2.9438,-3.5258,-2.2261
0,6.4665,-0.75688,0.228,2.4196
0,0.6394,5.989,-0.58277,1.0987
0,10.5326,-4.5852,-4.206,4.6464
0,4.1158,3.1143,-0.37199,-0.36038
0,3.2136,4.3465,0.78662,1.3562
0,-0.0248,1.2421,-0.5621,0.5706
0,10.1374,-1.331,-5.4707,-2.6479
0,-3.137,1.9259,-0.37458,3.1219
0,1.5478,0.041694,1.9284,5.4944
0,1.552,7.0806,1.031,-1.3389
0,11.9604,3.0835,-5.4435,-2.3361
0,-0.033118,4.7355,-0.2776,2.2596
0,-0.63321,7.3848,0.36507,0.46901
0,2.8701,0.51124,0.5099,2.7296
0,2.03,2.1761,-0.083634,2.0466
0,9.498,2.4408,-5.2689,-1.3274
0,-2.1521,2.6302,1.1047,3.8905
0,0.90427,1.1693,1.6892,3.9994
0,9.5083,-3.1783,-3.0086,2.3952
0,6.9321,-1.0456,0.23447,3.2704
0,1.5664,7.5382,0.78403,-1.3931
0,3.5488,1.3964,-0.36424,1.6406
0,6.8576,-1.0671,0.075416,2.7744
0,9.3821,-3.2477,-1.4543,2.4287
0,-2.806,2.0116,0.67412,4.2134
0,0.48213,4.7449,1.225,1.6472
0,-0.99326,5.2119,-0.29312,2.0597
0,0.7098,0.7572,-0.4444,0.3798
0,8.4551,-1.672,-2.0815,1.0135
0,-4.4552,3.1769,0.0042961,4.5691
0,10.1105,-1.6917,-4.3922,0.57461
0,9.1938,-0.9094,-1.872,0.5734
0,3.257,-1.3721,1.1668,5.2868
0,10.6568,-4.1388,-5.0646,4.0102
0,-3.6792,3.8281,1.6297,4.1425
0,-2.9177,2.2232,0.22283,3.0934
0,5.9947,0.53009,0.84998,2.2034
0,0.79459,0.95851,1.0077,3.744
0,2.2948,2.1135,0.35084,3.0329
0,7.2073,-1.6814,-0.94742,3.7731
0,2.8908,0.59693,0.79825,3.1557
0,7.6067,-0.9788,-2.4668,1.8114
0,7.2052,-3.2846,-1.1608,4.988
0,6.6155,-0.79287,-0.90863,2.483
0,4.7055,1.3758,0.081882,1.594
0,9.7484,0.15394,-1.6134,-0.016103
0,9.7939,-4.1508,-4.4582,3.8496
0,-3.7971,4.6429,-0.2957,0.9297
0,2.4107,-0.17594,1.6245,4.9342
0,10.0215,-4.2699,-4.9159,3.8417
0,9.9946,-3.8081,-3.3642,5.3915
0,-0.070365,2.0416,1.1319,4.4072
0,6.7976,-0.40301,0.44912,2.6946
0,0.13863,0.12138,1.1435,5.2756
0,6.2637,-1.9513,-0.36165,3.4312
0,-0.16555,0.45383,0.51248,4.052
0,-4.7759,8.4182,-1.8836,1.3638
0,7.7763,-2.7473,-1.9353,0.89566
0,7.7557,-0.16823,-3.0771,1.9265
0,-0.46146,7.7267,0.90946,0.20977
0,-2.9363,2.1992,0.50084,4.068
0,-4.0599,3.6259,-0.32544,2.877
0,-0.89808,8.0883,0.69222,0.3223
0,10.2678,-2.953,-5.8638,-1.3
0,-6.4334,8.15,-0.89828,1.7747
0,-4.4221,8.09,-1.7349,1.3419
0,10.5471,-1.4175,-4.0327,0.89606
0,2.9487,4.3225,0.7155,0.44125
0,6.2265,0.12224,-1.4466,3.2422
0,3.5136,0.61406,-0.40691,2.5678
0,11.9625,0.078538,-7.7853,-2.2153
0,6.1189,-2.4294,-0.19613,4.1349
0,-9.28E-06,4.816,-0.33967,1.934
0,1.1588,3.9249,0.12585,2.5068
0,6.0795,-0.5778,-2.2302,2.1464
0,7.0521,-2.0541,-3.1508,0.051979
0,8.035,-0.19651,-2.1888,1.2706
0,0.83391,5.4552,-0.56984,1.143
0,9.0386,-3.2417,-1.2991,2.2928
0,-4.4552,4.5718,-0.9888,0.3292
0,6.8369,-0.2702,0.71291,2.9719
0,8.7489,-1.2641,-1.3858,1.6849
0,11.6894,2.5454,-3.2763,-1.9177
0,10.4726,-3.0087,-3.2013,2.3729
0,9.767,-1.3687,-1.7853,1.0284
0,9.2186,-3.2863,-4.8448,0.27451
0,-4.7863,8.5193,-2.1203,1.6032
0,10.1788,-4.2185,-4.4245,4.616
0,7.6956,-2.7696,-1.0767,4.2478
0,-2.7004,2.4957,0.36636,4.0215
0,-4.9704,3.5025,-0.23751,5.0297
0,2.2948,3.2403,0.18404,1.5902
0,5.1939,-1.7971,-1.1763,2.1274
0,8.3847,-2.0567,-0.90345,1.1811
0,-4.4552,4.5718,-0.9888,0.3292
0,5.2808,-2.2598,0.075416,5.7353
0,5.6574,0.72974,-1.4892,2.6718
0,-4.7076,7.9186,-1.5487,1.5799
0,2.2493,1.3458,-0.037083,2.9499
0,-3.2633,3.0895,-0.9849,0.5195
0,9.5911,-3.9032,-3.3487,3.7352
0,2.0175,7.7618,0.93532,-1.7344
0,10.0277,-3.9298,-4.0819,3.884
0,1.2829,1.9276,1.7991,3.5257
0,2.4976,1.0313,0.96894,4.4549
0,-6.4624,8.3573,-1.5216,-0.16108
0,9.4607,-4.9288,-5.2366,4.2164
0,6.8224,-0.67377,-0.46898,3.5152
0,2.9094,2.9044,0.11033,1.6988
0,2.4542,2.5188,-0.17027,1.0607
0,1.2436,4.2171,0.90429,2.0421
0,1.3078,1.291,1.6556,3.5594
0,5.8126,-2.2306,-0.66553,3.0009
0,1.4112,1.8076,0.89782,3.9294
0,-4.0724,4.2882,1.5418,3.4667
0,3.9213,0.70574,0.33662,3.966
0,2.33,4.9334,0.82929,1.0191
0,5.616,2.2138,-0.12501,0.96414
0,6.7562,0.0099913,0.39481,1.8205
0,7.8653,-2.3515,-0.71984,4.9923
0,11.5093,0.15565,-6.8194,-1.1804
0,0.23175,0.89082,1.1823,4.0329
0,10.3878,-1.4029,-3.9151,0.66018
0,7.1307,-1.3035,0.21248,3.5982
0,7.886,-1.6643,-1.8384,-1.8584
0,0.46972,1.6671,0.91593,4.0972
0,0.91254,1.5806,0.39352,3.3299
0,3.1122,0.80857,0.4336,3.1088
0,8.5234,3.1392,-0.91639,-4.2859
0,10.2036,2.1787,-5.6038,-1.2528
0,-3.2633,3.0895,-0.9849,0.5195
0,-4.4552,4.5718,-0.9888,0.3292
0,5.3449,2.045,-0.19355,0.88872
0,9.3718,-4.0351,-3.9564,3.5458
0,8.0329,1.8848,-3.8853,-0.21661
0,9.0821,-3.3111,-0.96811,2.7206
0,8.6889,-2.9033,-0.7819,3.2051
0,10.8161,-3.3,-4.2888,2.6917
0,11.5176,1.8231,-5.375,-2.3242
0,-4.2006,4.1914,0.16981,2.7161
0,3.2674,0.90967,0.25128,3.3848
0,4.8028,2.0878,0.62627,1.7452
0,0.57732,1.3424,1.2133,2.805
0,5.5788,-2.4089,-0.056479,5.7823
0,1.734,1.6011,0.96765,3.8999
0,6.332,-1.7791,-0.020273,3.5189
0,7.7391,-0.37816,-2.5405,3.2294
0,3.1639,0.22677,-0.1651,3.4985
0,1.3781,1.1582,0.85774,2.1948
0,9.9636,-3.1749,-2.9944,2.2526
0,-3.9358,2.8633,-0.017686,4.1529
0,11.17,-1.3824,-4.0728,0.74307
0,8.871,-2.3386,-0.75604,1.9105
0,0.070346,6.8681,-0.50648,-1.5055
0,10.7727,-1.3884,-4.3276,0.58836
0,7.8384,-3.5348,-1.2151,3.2303
0,11.6542,2.6542,-5.2107,-1.9922
0,9.0096,-3.761,-3.3371,2.8523
0,2.4955,0.48554,0.36119,4.2772
0,0.039307,6.2332,-0.30346,1.5099
0,10.1457,-4.084,-3.6991,5.4188
0,2.6963,4.2908,0.54739,0.86202
0,10.1457,-4.0463,-4.5629,3.8117
0,10.3754,-1.5435,-4.1633,0.54777
0,7.4908,0.015989,-1.7414,2.3718
0,11.1472,1.9353,-3.4638,-2.4953
0,-2.6611,2.8358,1.1991,4.6361
0,11.5321,2.5899,-3.2737,-2.2527
0,10.423,-4.1602,-4.9728,3.7982
0,8.2895,-1.9213,-3.3332,-0.36279
0,6.8783,0.44784,-2.2224,2.1265
0,5.5643,1.6765,-0.16769,0.86736
0,10.0526,-3.8869,-3.7366,3.7831
0,12.1177,0.28846,-7.7581,-2.2623
0,4.4303,-1.3335,-1.7517,1.2616
0,3.1349,0.34073,0.58489,2.6799
0,5.9781,1.3912,-1.1621,-0.39816
0,0.35798,2.0416,1.2004,4.3937
0,5.6222,0.27561,-1.1556,2.9695
0,-0.15521,6.4911,-0.75346,1.3049
0,-5.8395,7.7687,-0.85302,2.2123
0,6.9383,0.57722,0.66377,1.9647
0,-2.5845,2.2309,0.30947,3.0864
0,0.7098,0.7572,-0.4444,0.3798
0,7.4266,1.2353,-2.9595,0.58982
0,7.946,1.0742,-3.3409,0.14783
0,6.1975,1.099,-1.131,-0.062025
0,1.1319,0.72202,0.96118,4.223
0,7.1018,0.3493,-0.41337,0.64295
0,0.46351,4.6472,1.0879,1.941
0,0.45937,1.3621,1.6181,4.0047
0,9.7794,-3.9075,-3.5323,3.7767
0,-0.15314,2.53,2.4495,3.4769
0,9.2621,-3.521,-1.872,1.9818
0,-3.8696,4.044,0.95343,3.8023
0,11.1079,-4.0857,-4.2539,4.3483
0,1.3864,5.2727,-0.43536,1.1518
0,1.5892,7.0078,0.42455,-1.2576
0,-5.1153,8.6127,-1.4297,1.9572
0,12.1611,2.8204,-3.7418,-2.484
0,1.2954,7.701,0.62627,-1.1497
0,10.0132,-4.3239,-4.3276,4.8368
0,8.8068,0.94566,-4.2267,-0.12196
0,6.3961,0.092248,0.58102,1.9429
0,-4.809,8.2142,-2.0659,1.742
0,10.8409,2.7827,-4.0974,-1.5222
0,10.2678,-2.953,-5.8638,-1.3
0,-0.14693,0.80342,0.29136,3.4246
0,-4.9518,6.3729,-0.41596,2.5503
0,6.3465,-0.1828,-2.4099,1.5691
0,4.9228,2.0013,0.22024,1.3087
0,8.2316,-3.2511,-1.5694,5.1776
0,9.6325,-3.1123,-2.7164,2.229
0,10.0857,-4.2931,-3.8142,5.6272
0,8.7986,-2.1672,-0.74182,1.2138
0,0.7098,0.7572,-0.4444,0.3798
0,6.0319,1.6825,-0.46122,0.5415
0,5.6802,-1.9693,0.026279,4.0524
0,2.1065,-0.28305,1.5625,4.7285
0,0.66216,2.1041,1.8922,3.4359
0,10.2429,-1.4912,-4.0082,0.86816
0,9.8022,-3.8209,-3.7133,3.359
0,2.9942,0.85141,0.30688,3.6702
0,6.1189,0.46497,0.49826,1.3349
0,-3.4143,2.7742,-0.2026,3.1887
0,2.9653,0.20021,-0.056479,2.4527
0,2.9735,0.92852,0.60558,3.9121
0,10.5885,-3.725,-4.3133,3.9364
0,-3.2902,3.1674,1.0866,3.9414
0,-3.9585,4.3439,1.3517,3.6922
0,7.795,-2.6848,-0.92544,5.681
0,9.0862,-1.2281,-1.4996,0.77124
0,9.7753,-3.9795,-3.4638,3.5761
0,6.1251,0.52924,0.47886,1.602
0,10.216,-3.4414,-4.0069,2.6682
0,1.8644,2.6491,0.47369,2.0007
0,3.1287,4.2933,0.64696,0.64215
0,-3.0729,3.0423,1.2741,4.3848
0,9.0552,-2.4089,-1.3884,0.77445
0,8.393,-1.361,-1.4659,0.96574
0,8.7324,-2.9007,-0.96682,3.0948
0,7.6046,-2.3429,-0.85302,4.9362
0,11.2217,1.9079,-3.4405,-1.9458
0,-0.44284,0.38015,1.3763,5.7403
0,12.1984,0.67661,-8.5482,-2.6989
